,id,SERIAL_NUMBER,MANUFACTURER,NAME,MODEL,LOCATION,ROOM,ENERGY_CONSUMPTION,BTU,MICROCODE,PATCH_LEVEL,CUSTOMER_ID,HOSTS_APPLICATION,TCPADDR1,TCPADDR2,TCPADDR3,SW_GUI,INVESTMENT_DATE,MAINTENANCE_EXPIRATION_DATE,MAINTENANCE_PROVIDER,MAINTENANCE_CONTRACT,IS_EXTENSION_REQUIRED,IS_MIGRATION_REQUIRED,RAID_CONFIG,USABLE_CAPACITY_GB,CAPACITY_IN_USE_GB,FREE_CAPACITY_GB,EXTENSION,COMMENT_1,STORAGE_TYPE,READADMIN,RACK,COST_CENTER,CO2_KG,SECOND_INVESTMENT_DATE
66,1166,1322365,IBM,FLFFM06,9843-AE1,FFM,M7,1200,,,,879430,VDI,10.21.151.125,10.21.151.126,,,31.03.2015,31.03.2019,IBM,,,,,38500.0,,,,,Flash Block,,H14,3310-601,0.72,
67,1165,7812383,IBM,XIV09,2812 114 G3,FFM,M2,17303,"59213,874",15 Module,,879430,MMS/-Inter/Siebel,10.21.151.93,10.21.151.94,10.21.151.95,,31.03.2015,31.03.2019,IBM,,,,,325500.0,,,,,Block,,G14,3310-601,10.4,
68,1164,7812414,IBM,XIV10,2812 114 G3,FFM,M7,17303,"59213,874",15 Module,,879430,MMS/-Inter/Siebel,10.21.151.96,10.21.151.97,10.21.151.98,,31.03.2015,31.03.2019,IBM,,,,,325500.0,,,,,Block,,E10,3310-601,10.4,
69,1146,3FZ2325173,EMC DataDomain,BAN11VTLDD001.IN.MADM.NET,DD640,"IN, Bangalore",RZ,0,,,5.4.1.1-411752,,"VEEAM NFS Pool, HDPS VTL",10.141.68.236,,,Data Domain System Manager,06.2013,05.2018,local partner,,,,,29926.0,10112,19814,,,Backup,,,,,
70,1145,FLB00140100039,EMC DataDomain,MIL11VTL002.IT.MADM.NET,DD2500,"IT, San Donato Milanese",RZ,0,,,5.4.1.1-411752,16966,"VEEAM NFS Pool, HDPS VTL",10.244.1.91,10.244.1.92,10.244.1.93,Data Domain System Manager,03.2014,02.2019,Orchestra,,,,,45946.0,21557,24389,,,Backup,,,,,
71,1144,FLC00143600009,EMC DataDomain,BUK11VTLDD001.R4.MADM.NET,DD2500,"RO, Bukarest",RZ,0,,,5.5.0.4-430231,,"VEEAM NFS Pool, HDPS VTL",10.23.2.15,,,Data Domain System Manager,11.2014,10.2019,,,,,,24172.0,3971,20201,,,Backup,,,,,
72,1126,850000150262,NetApp,SHA11DRFASP001,FAS2040,"CN, Shanghei",,0,,Release 8.2.1 7-Mode,,,,10.252.125.240,,,SystemOnCommand manager,,,NetApp,,,,,,,,,,,,,,,
73,1125,850000150274,NetApp,SHA11BACFASP002,FAS2040,"CN, Shanghei",,0,,Release 8.2.1 7-Mode,,,,10.252.7.104,,,SystemOnCommand manager,,,NetApp,,,,,,,,,,,,,,,
74,1124,850000150286,NetApp,SHA11BACFASP001,FAS2040,"CN, Shanghei",,0,,Release 8.2.1 7-Mode,,,,10.252.7.103,,,SystemOnCommand manager,,,NetApp,,,,,,,,,,,,,,,
75,1105,941431000082,NetApp,Ban11fsr005,FAS2240-4,"IN, Bangalore",RZ,0,,Release 8.2.1 7-Mode,,,"CIFS, ESX",10.141.68.198,,,SystemOnCommand manager,,,,,,,,55239.4,0,55239.4,,,CIFS,,,,,
76,1104,451431000129,NetApp,Ban11fsr004,FAS2240-4,"IN, Bangalore",RZ,0,,Release 8.2.1 7-Mode,,,"CIFS, ESX",10.141.68.196,,,SystemOnCommand manager,,,,,,,,55239.4,0,55239.4,,,CIFS,,,,,
77,1086,212921,HDS,HDSVM05,HUS VM Flash,FFM,M7,0,,73-03-09-00,,490863i,SVC Flash,10.21.151.92,,,Hitachi Command Suite 8,30.09.2014,30.09.2018,HDS,,,,,22390.0,,,,,Flash Block,,,,,
78,1085,212910,HDS,HDSVM04,HUS VM Flash,FFM,M2,0,,73-03-09-00,,490863i,SVC Flash,10.21.151.91,,,Hitachi Command Suite 8,30.09.2014,30.09.2018,HDS,,,,,22390.0,,,,,Flash Block,,,,,
79,1084,212900,HDS,HDSVM03,HUS VM,FFM,M2,0,,73-03-09-00,,490863i,SVC Block Storage,10.21.151.90,,,Hitachi Command Suite 8,30.09.2014,30.09.2018,HDS,,,,,319000.0,,,,,Midrange Block,,,,,
80,1044,212911,HDS,HDSVM02,HUS VM,DUS,H1-M3,0,,73-03-09-00,,387719 i,SVC Block Storage,10.16.254.65,,,Hitachi Command Suite 8,30.09.2014,30.09.2018,HDS,,,,,319000.0,,,,,Midrange Block,,,,,
